id,prediction
0,0
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,1
9,1
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,0
20,0
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,1
42,1
43,1
44,1
45,1
46,0
47,0
48,0
49,0
50,0
51,1
52,1
53,0
54,0
55,0
56,0
57,0
58,1
59,0
60,0
61,1
62,1
63,1
64,1
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,1
93,1
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,1
103,1
104,0
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,1
129,0
130,0
131,0
132,0
133,1
134,0
135,0
136,1
137,1
138,1
139,0
140,0
141,0
142,0
143,1
144,0
145,1
146,1
147,0
148,0
149,0
150,0
151,0
152,1
153,0
154,1
155,1
156,0
157,1
158,1
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,1
171,0
172,0
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,0
181,1
182,1
183,0
184,0
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,1
211,1
212,0
213,0
214,1
215,1
216,0
217,1
218,1
219,0
220,0
221,1
222,0
223,0
224,0
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,0
234,1
235,1
236,1
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,1
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,1
257,0
258,1
259,0
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,1
271,1
272,1
273,0
274,0
275,1
276,0
277,1
278,0
279,1
280,1
281,0
282,0
283,0
284,1
285,0
286,1
287,0
288,1
289,0
290,1
291,1
292,0
293,1
294,1
295,1
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,1
305,1
306,1
307,1
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,1
327,0
328,0
329,1
330,0
331,0
332,0
333,0
334,0
335,1
336,0
337,0
338,1
339,1
340,0
341,0
342,0
343,1
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,1
359,1
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,1
370,0
371,1
372,0
373,0
374,0
375,1
376,0
377,0
378,1
379,1
380,1
381,1
382,0
383,1
384,0
385,0
386,1
387,1
388,1
389,1
390,0
391,0
392,0
393,1
394,0
395,1
396,0
397,1
398,1
399,0
400,0
401,1
402,0
403,1
404,0
405,0
406,0
407,1
408,0
409,1
410,0
411,1
412,0
413,1
414,0
415,0
416,1
417,0
418,0
419,1
420,1
421,0
422,0
423,0
424,0
425,0
426,1
427,1
428,0
429,1
430,1
431,1
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,1
443,0
444,0
445,1
446,0
447,0
448,1
449,0
450,0
451,1
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,1
461,1
462,0
463,0
464,0
465,0
466,1
467,1
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,1
476,0
477,0
478,0
479,0
480,1
481,0
482,1
483,1
484,0
485,0
486,1
487,0
488,0
489,0
490,1
491,0
492,0
493,0
494,1
495,0
496,0
497,1
498,1
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,1
512,1
513,0
514,0
515,1
516,1
517,1
518,0
519,0
520,0
521,0
522,0
523,0
524,1
525,0
526,1
527,0
528,1
529,0
530,0
531,0
